0 	-59.474556	0.000848	30.000000
1 	-61.570347	0.000657	39.000000
2 	-61.406082	0.000680	40.000000
3 	-61.305977	0.000701	36.000000
4 	-63.069981	0.000559	40.000000
5 	-63.849621	0.000505	47.000000
6 	-59.030342	0.000890	27.000000
7 	-63.819546	0.000536	32.000000
8 	-63.407261	0.000555	32.000000
9 	-61.816532	0.000647	56.000000
10 	-53.298183	0.001489	45.000000
11 	-51.874508	0.001798	41.000000
12 	-56.582066	0.001149	39.000000
13 	-57.844673	0.001036	46.000000
14 	-60.419285	0.000732	39.000000
15 	-59.710835	0.000840	32.000000
16 	-60.131599	0.000805	35.000000
17 	-57.946964	0.001088	14.000000
18 	-61.028114	0.000736	17.000000
19 	-61.967655	0.000633	42.000000
20 	-61.048695	0.000731	44.000000
21 	-59.907673	0.000830	33.000000
22 	-60.448677	0.000752	40.000000
23 	-57.824146	0.001059	23.000000
24 	-60.993912	0.000726	33.000000
25 	-60.807449	0.000741	38.000000
26 	-61.940182	0.000630	52.000000
27 	-62.308189	0.000611	41.000000
28 	-61.225288	0.000729	25.000000
29 	-60.879654	0.000746	25.000000
30 	-61.317772	0.000686	40.000000
31 	-61.533737	0.000667	53.000000
32 	-63.992023	0.000496	42.000000
33 	-60.732086	0.000782	26.000000
34 	-62.649242	0.000577	48.000000
35 	-65.109901	0.000443	51.000000
36 	-63.094860	0.000554	35.000000
37 	-63.020390	0.000580	41.000000
38 	-62.700016	0.000607	26.000000
39 	-65.223282	0.000445	32.000000
40 	-64.334518	0.000486	53.000000
41 	-60.454060	0.000783	20.000000
42 	-63.888496	0.000488	37.000000
43 	-65.404144	0.000435	48.000000
44 	-61.669270	0.000704	30.000000
45 	-59.193539	0.000934	14.000000
46 	-58.826984	0.000928	17.000000
47 	-57.558811	0.001035	47.000000
48 	-41.855293	0.005750	72.000000
49 	-38.047760	0.010411	91.000000
50 	-35.655739	0.012816	88.000000
51 	-42.571640	0.005533	83.000000
52 	-39.682583	0.007718	92.000000
53 	-39.161568	0.008933	86.000000
54 	-37.186451	0.011029	95.000000
55 	-37.055389	0.011179	93.000000
56 	-35.482773	0.012999	88.000000
57 	-39.811119	0.008209	77.000000
58 	-33.258114	0.015594	43.000000
59 	-16.179399	0.115847	7.000000
60 	-13.462960	0.160239	10.000000
61 	-11.431618	0.212651	9.000000
62 	-9.783387	0.266540	12.000000
63 	-10.536288	0.239440	12.000000
64 	-10.893517	0.239687	8.000000
65 	-9.173270	0.292168	8.000000
66 	-8.533672	0.292602	8.000000
67 	-9.632043	0.240501	11.000000
68 	-10.624753	0.234322	10.000000
69 	-12.586455	0.184044	15.000000
70 	-14.601569	0.145704	8.000000
71 	-15.228309	0.141644	9.000000
72 	-14.732272	0.144859	8.000000
73 	-15.349261	0.144322	7.000000
74 	-15.129953	0.147303	6.000000
75 	-15.816249	0.134685	6.000000
76 	-15.691892	0.135889	8.000000
77 	-17.253670	0.118678	4.000000
78 	-19.868607	0.084465	8.000000
79 	-19.142838	0.087365	14.000000
80 	-19.622061	0.083863	11.000000
81 	-19.191118	0.085524	10.000000
82 	-19.906124	0.077938	10.000000
83 	-17.103029	0.101236	10.000000
84 	-16.675035	0.121123	9.000000
85 	-18.756716	0.099738	8.000000
86 	-24.606462	0.047787	10.000000
87 	-24.952097	0.046958	16.000000
88 	-27.390005	0.034276	48.000000
89 	-28.572283	0.029931	42.000000
90 	-27.283207	0.035422	16.000000
91 	-32.020325	0.020404	17.000000
92 	-32.390476	0.018677	20.000000
93 	-34.418728	0.014704	14.000000
94 	-36.663834	0.012806	12.000000
95 	-35.146294	0.013646	14.000000
96 	-34.904808	0.014648	28.000000
97 	-33.727413	0.015922	15.000000
98 	-17.122005	0.092904	11.000000
99 	-12.743718	0.183604	11.000000
100 	-11.838814	0.217552	15.000000
101 	-11.707148	0.215605	17.000000
102 	-12.187896	0.199896	9.000000
103 	-13.272092	0.177411	11.000000
104 	-12.803576	0.182614	10.000000
105 	-11.750983	0.217005	8.000000
106 	-12.108345	0.213647	9.000000
107 	-11.391041	0.236769	9.000000
108 	-10.672761	0.251136	9.000000
109 	-10.121284	0.260920	11.000000
110 	-10.684240	0.245735	9.000000
111 	-12.331262	0.206215	11.000000
112 	-14.476779	0.158576	6.000000
113 	-18.399050	0.097738	7.000000
114 	-22.252272	0.059376	12.000000
115 	-23.581770	0.057308	9.000000
116 	-22.785275	0.061702	10.000000
117 	-24.157991	0.048508	10.000000
118 	-23.306076	0.053831	29.000000
119 	-24.323294	0.046625	10.000000
120 	-21.385120	0.065079	12.000000
121 	-18.111908	0.086168	12.000000
122 	-16.966923	0.114756	6.000000
123 	-17.643293	0.111266	6.000000
124 	-19.120964	0.090515	6.000000
125 	-21.176722	0.068259	6.000000
126 	-19.740801	0.076887	7.000000
127 	-19.590363	0.084439	7.000000
128 	-19.914951	0.075621	12.000000
129 	-20.638929	0.067134	12.000000
130 	-16.840946	0.100064	10.000000
131 	-16.166245	0.108437	12.000000
132 	-16.155468	0.110480	16.000000
133 	-15.877115	0.118199	16.000000
134 	-15.041826	0.133430	14.000000
135 	-15.265658	0.128596	14.000000
136 	-15.476657	0.121991	14.000000
137 	-13.851467	0.150942	12.000000
138 	-14.431683	0.138637	14.000000
139 	-14.156243	0.144929	12.000000
140 	-14.897956	0.134804	11.000000
141 	-16.145742	0.123266	7.000000
142 	-17.729155	0.105175	11.000000
143 	-20.367420	0.077263	11.000000
144 	-23.407238	0.053309	12.000000
145 	-25.163551	0.044104	22.000000
146 	-22.990831	0.054896	16.000000
